cmpdname,mw,polararea,heavycnt,hbonddonor,hbondacc,rotbonds,isosmiles,exactmass,monoisotopicmass,xlogp
1-Aminopropan-2-ol,75.11,46.2,5,2,2,1,CC(CN)O,75.0684,75.0684,-1
"1-Chloro-2,4-dinitrobenzene",202.55,91.6,13,0,4,0,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,201.978,201.978,2.3
"1,2-Dichloroethane",98.96,0,4,0,0,1,C(CCl)Cl,97.969,97.969,1.5
"1,2,4-Trichlorobenzene",181.4,0,9,0,0,0,C1=CC(=C(C=C1Cl)Cl)Cl,179.93,179.93,4
"2,3-Dihydroxybenzoic acid",154.12,77.8,11,3,4,1,C1=CC(=C(C(=C1)O)O)C(=O)O,154.027,154.027,1.2
Chloroacetaldehyde,78.5,17.1,4,0,1,1,C(C=O)Cl,77.9872,77.9872,0.3
2-Chloroethanol,80.51,20.2,4,1,1,1,C(CCl)O,80.0029,80.0029,-0.1
"2,5-Dichlorophenol",163,20.2,9,1,1,0,C1=CC(=C(C=C1Cl)O)Cl,161.964,161.964,3.1
"3,4-Dihydroxybenzoic acid",154.12,77.8,11,3,4,1,C1=CC(=C(C=C1C(=O)O)O)O,154.027,154.027,1.1
3-Cyanopyridine,104.11,36.7,8,0,2,0,C1=CC(=CN=C1)C#N,104.037,104.037,0.2
3-Oxoadipic acid,160.12,91.7,11,2,5,5,C(CC(=O)O)C(=O)CC(=O)O,160.037,160.037,-0.9
Acetoacetic acid,102.09,54.4,7,1,3,2,CC(=O)CC(=O)O,102.032,102.032,-0.4
3-Phenylpropionic acid,150.17,37.3,11,1,2,3,C1=CC=C(C=C1)CCC(=O)O,150.068,150.068,1.8
Gamma-Aminobutyric Acid,103.12,63.3,7,2,3,3,C(CC(=O)O)CN,103.063,103.063,-3.2
4-Hydroxybenzyl alcohol,124.14,40.5,9,2,2,1,C1=CC(=CC=C1CO)O,124.052,124.052,0.2
4-Hydroxybenzaldehyde,122.12,37.3,9,1,2,1,C1=CC(=CC=C1C=O)O,122.037,122.037,1.4
